"id","title","author","alt_titles"
"c100","The Selfish Gene","Richard Dawkins",""
"c101","Outliers: The Story of Success","Malcolm Gladwell",""
"c102","Man's Search for Meaning","Viktor E. Frankl",""
"c103","Quiet: The Power of Introverts","Susan Cain",""
"c104","The Power of Habit","Charles Duhigg",""
"c105","12 Rules for Life","Jordan B. Peterson",""
"c106","The Body Keeps the Score","Bessel van der Kolk",""
"c107","Born a Crime","Trevor Noah",""
"c108","The Fault in Our Stars","John Green",""
"c109","Charlie and the Chocolate Factory","Roald Dahl",""
"c110","Matilda","Roald Dahl",""
"c111","The Giver","Lois Lowry",""
"c112","Wonder","R.J. Palacio",""
"c113","Eleanor Oliphant Is Completely Fine","Gail Honeyman",""
"c114","Where the Crawdads Sing","Delia Owens",""
"c115","The Kite Runner","Khaled Hosseini",""
"c116","A Thousand Splendid Suns","Khaled Hosseini",""
"c117","Life of Pi","Yann Martel",""
"c118","The Book Thief","Markus Zusak",""
"c119","All the Light We Cannot See","Anthony Doerr",""
"c120","The Night Circus","Erin Morgenstern",""
"c121","Circe","Madeline Miller",""
"c122","The Song of Achilles","Madeline Miller",""
"c123","Diary of a Wimpy Kid","Jeff Kinney",""
